Juego,Plataforma,Año,Publicadora,Desarrolladora,Región,Edición,Serial,Ubicación,Completitud,Caja,Manual,Juego,Estado General,Estado Caja,Estado Manual,Estado Juego,Extras,Observaciones,Precio Compra,Lugar Compra,Fecha Compra,Valor de referencia,Tasación Actual,Fecha tasación,Proceso Juego,Valoración Personal
Contra: The Alien Wars,Game Boy,1994,Konami,Factor 5,EEUU,,,,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,,,Pegatina del cartucho desgastada,"0,00 €",Original (amigo JM),ene/1996,"50,00 €","50,00 €",09/04/2025,Completado,
Crayon Shin-Chan: Ora to Shiro wa Otomodachi da yo,Game Boy,1993,Bandai,Bandai,Japón,,,,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,,,,"1,00 €",Japón,oct/2018,"10,00 €","10,00 €",09/04/2025,Probado,
Donkey Kong,Game Boy,1994,Nintendo,Nintendo EAD,Japón,,DMG-QDA,,Completo,TRUE,TRUE,TRUE,7,7,9,5,Publi Super Game Boy,"Comprado por 4780Y, cartucho marrón pero pegatina perfecta","26,64 €",Ojamakan (Nishinomiya),19/oct/2025,"60,00 €","60,00 €",04/11/2025,Sin Jugar,
Donkey Kong Land,Game Boy,1995,Nintendo,Rareware,Europa,Nintendo Classics?,DMG-YT-EUR,,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,4,,Caja repro,"0,00 €",Original (regalo),mar/1998,"12,00 €","12,00 €",09/04/2025,Completado,
Game de Hakken!! Tamagotchi,Game Boy,1997,Bandai,Tom Create,Japón,,,,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,,,,"1,00 €",Japón,oct/2018,"8,00 €","8,00 €",09/04/2025,Sin Jugar,
Hoshi no Kirby,Game Boy,1992,Nintendo,HAL Laboratory,Japón,,,,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,,,,"2,00 €",Japón,oct/2018,"10,00 €","10,00 €",09/04/2025,Jugado,
Kung-Fu Master,Game Boy,1990,Nintendo,Irem,Europa,,,,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,,,,"0,00 €",Original (amigo JM),ene/1996,"15,00 €","15,00 €",09/04/2025,Completado,
Pokémon Amarillo,Game Boy,1998,Nintendo,Game Freak,España,,DMG-APSS-ESP,,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,8,,Caja repro,"0,00 €",Original (regalo),jun/2000,"35,00 €","35,00 €",09/04/2025,Completado,
Pocket Monsters Aka,Game Boy,1996,Nintendo,Game Freak,Japón,,DMG-P-APAJ(JPN),,Completo,TRUE,TRUE,TRUE,6,6,6,6,Mapa,Comprado por 14363Y. Cartucho completamente marrón pero pegatina perfecta,"81,39 €",Surugaya (Osaka),26/oct/2025,"140,00 €","140,00 €",04/11/2025,Sin Jugar,
Pocket Monsters Midori,Game Boy,1996,Nintendo,Game Freak,Japón,,,,Incompleto,FALSE,TRUE,TRUE,,N/A,,,,Cartucho y manual. Caja repro. Faltan mapas,"20,00 €",Japón,oct/2018,"65,00 €","65,00 €",09/04/2025,Probado,
Pocket Monsters Pikachu Version,Game Boy,1998,Nintendo,Game Freak,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Caja ligeramente aplastada. Comprado por 8545Y,"50,00 €",Surugaya (Akihabara),nov/2024,"75,00 €","75,00 €",09/04/2025,Sin Jugar,
SD Gundam SD Sengokuden 2 Tenka Touitsu Hen,Game Boy,1992,Bandai,"Sotsu Agency, Sunrise",Japón,,,,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,,,,"1,00 €",Japón,oct/2018,"5,00 €","5,00 €",09/04/2025,Probado,
Super Mario Land,Game Boy,1989,Nintendo,Nintendo R&D1,Japón,,,,Incompleto,TRUE,FALSE,TRUE,,,N/A,,,Con pegatina de seguridad en la parte de atras (2500Y),"15,00 €",Surugaya (Shinjuku),nov/2024,"30,00 €","30,00 €",09/04/2025,Sin Jugar,
